DIM_BD 50000
UV58bP TVMgXuNTya KDMVUzNuapJUsB  1 bgcdUHNN nKUptLs 
Nc86Vp LTUvgFjgq cPhllc  4 ECOOtsnwd ARwmnXRDlq 
Cb60Zm YhyyaI GLMIGfRaWXM YHUHAlBiNQLnzd taN  5 dJkiptoK caFoxTL 
Td96CV wXTbIIoHWpXhz HpzJLtsMhDoUk uIprktdA  2 DJqQVyAxBX sqUJlw 
NS40TY nrf CFaOjKGCUgL blluGyzGHmxmPw WmNcuJG xtf  1 YUbHpwBhQ ZCqbByMC 
kj86Sv TbwpyyEPTW LHtmSuLzQEhV KBYBv KBkhMVRr  4 AuCiNI AbdArE 
xm52Mw DmLhUkrDycT vGbuJWNtGWwZHG OQHmPHRK czJZvr  3 xZDJVTy mVmoFLwGP 
mr23ml rIhjFssTNRo jScotd VcKpMsvRr ByyvfOYsnuS  1 XPItePm wehWe 
pu30xb gkYtguXsWXjq tvOCgHjrKgG mVIYk EFHFrs  2 ekPpqhk HMlnHY 
jD62tu AUySs DbIANbIWHMLnFg XPYtdCOb  0 eRdmBfQT MYHYe 
oY14Yk NcytEHXDqh JMvQZeXgSJEAQb  0 DmDNbGhg ecHifi 
QS98aI YhiJ DwhjCbGLFeffjr  5 vIbgWwuxY BYmsSQ 
mq34xZ dWtPKZlYtmvhh REIlAwmRUorzQ  3 OWrhdL kfTZxo 
Px13Ve tpyutewgl vgenuKgMBiFgnm bXDpHGCS rfkBsYBrsBEdu GFzymEblKSuyI  0 aFHgE YrAKCGyN 
qr22iM EpJfDPEzXiy YVAUlFFdQ XxZnSS  4 RWmvZK cPcgBvAPQ 
Rc66qa xASxXoHvv jBwTA DBoeXCWmbWrCcl qYdvbtfpDc  4 PfmvV qVzoXWvA 
lz76qk UEhORolVSwS Ejaf fCAnG  1 UYPNkf QRbnXMOm 
dQ48IJ oGvwpXKoKS bmofgh  4 DRPibN rMbDrh 
CX72WD gIAE ibrvKIIkUQgnyI KUuKsf owolTR QysYvpTJx  2 GPWtyMU aTrptzN 
Dg96Ps buSJequdcsx WQmjxZ ltNv dkzPvfURw OMdRkfjFibR  4 SmDfht dqVzsrOkWS 
ac46OZ IMwxeKZG vfBOFpqXSzf RQPMPlgrxTO  3 LIMvdpxglR bZQbs 
IB52Pj rvylMS jTWBylmJItYjM qGBXQoLQ  0 LColHYGjx eSbulOz 
Vd13nc zpIFVmqN NjsklUoolYMI vnHVvngB NXlnlEBsQTBf fmVnJMSuHOkz  5 szkXsOSRzg UGGtiuIls 
Wl20HJ ZWnTRjFnKN qnIpHNY  1 FlfHZ lXafbrb 
Eu19nH TBAG SftIKOmMjV yzJierE TTezLNcE  5 kOLRw amaDSDD 
fY12Ek tecVBze QeNXlTxQveiGLZ  5 bPtMq mPILP 
Zl97NQ SaH ITTpbauHgW dqGoa DAJJzXPuyQgD  4 SuDvI PJrqxhrmW 
FP53gv opH dZTExlSDEw OfuCEwJAlZFBOu  3 LhVlLhBkSr gSThbdomHI 
Ej61Tb ePbjIxzGlxo nuERAWCLOb  4 FXsKdrYQT YhuTJruid 
rq97Qr YOeQv USPmMkIp  3 lcjJN ZUoxOT 
nB77Ap IDwLcfoMP NoaCnNgPyBFXE gpinkbt SybzQrQPlTB  4 MdNpbkX gKGhYzDn 
oZ20sb jUPw OVsp hMImONVeNbtTh gMyckRskcJdZ LpdfkgtdmxbMQW  3 DWyXBFK PQweRSaUaX 
qv44VF XzbeWDUoC pjoqQWYvOM VxIfE GuGmQMyIymHD RpEMpIAo  4 iUDPqNF vZhKtCNK 
rU64yN kyOXSoxfttS KZLaSEyiq  4 AkzZTwS ChSUADARY 
UF30TF zaVnsAcOyRn nhlOUQeBqYXk GzYLlAPpopXra  3 HGBgND DgTdlHM 
La24WO ehWXVTndQJD HSYUuNxQsz evkS vwaCujX LZy  0 kMXZeRgsc EDmKQCcP 
Ea98vz xvQDPrICkeq UeXygEHX uQl MmGtv  3 fCYPK BCJwxAF 
WE68ap AZTB egsIoVxLlRHemp SOmbqC  1 VzVmjAb tNqnWO 
hH53dz hNFx Xous gReQz EJED  1 lgFOHrB TlYlj 
eq93uC UQidRHYvcYDEGU ktOUybskHUB  4 YXSVeOrY eSdMB 
iS94mk wGQgWNP KCPPhVQeJhxaWq zjYFSEvHvKcT rMvXPJBpWwOHj  0 QZbPL mqljlJFH 
dn72Qh bctduvV LJmziKj bKi phQPjUUmA  5 oUzLDP nosFKx 
YN11ey GMdDZ VTrmUwUxaPlrrx  0 XCcJFxVAGP mzriv 
ac83Bk OhAyBlsfJ JuOqKthKMD uoYUHpeJDRou  4 AKOBgEYhTr EEQjmI 
ch70Hz EpNLupa sNzZDb VJsMchfM SHRQSiEG qQoZNpgCjTdY  3 gIFvyjXdA nfWgnOzeD 
qj28bh Henxaz sjahHDVtzB  4 CuXxIvPjsD pHXuZ 
GE34ov FFSh gkgPz  0 OhKBisWS USJIyppoe 
Ik24Yk uccuXiNPouBJa DogKPOEW  5 XaUgQKbHS WZubC 
kV47XP QryHQHKkeSCh xhidXt  5 DLMKU fuQfRxgvNk 
gl18qZ RMvzJsKcGGTqsc RxKC  0 IAvChijZX MDGaIJOD 
YY34vo XXSBUl QVYQxTN xJUrY QBLqFug  1 JAgkYQlH xBjgHjJnR 
gN67CF cxzhL FcCxJHeEoJMDVh EkG MeAAayhNi  3 GDGZQmPRyG WCSJztbm 
fn89Ox iiIZRcSKCoE XZVkeuVk NCE DvlmrJlkSOBnU  2 ERgJpCUDhf QeqCCki 
tq82JK NpSwWo PAquNzLqw btjj  3 BRYwxXUK YbKupLkWdy 
qw68gm UrEtjndtfZ krJvHt cXcjivwp ocKulVlBOT  1 mLGrC WaQEv 
rk32JW sobFkwHisj EZqzTXuYrJVp DuYYjWw  2 kpFCNPCRNM QexlnjAey 
Ie26gQ cyvdwyLnErlw TrFzrGaFIoQKo hxTNCnTFjcGxK IQAzKTmoLpgdAf  4 MLPsBsZlOd CsfDS 
lo67EY MfWWqmbRaqyAF fkRMd KkYqSZLLyA mblvoSWLqrx YvY  2 JfHZcpS tQuCZqfgRu 
up50nu UVGY ypXxjlNYis hLkydGsOg WEkvddNUyBuiRR  0 XTKQJYY FdXZtKb 
VU83YZ VrYy zRbBai  1 ghjHLWAI wlPapZ 
Gg70GI RGLGNfqG GObi DlKIr  1 NseqnBpaA aVOaJI 
fg76ex yfsyXXDhGTS XDNtipQyp agnJmtVBxck  0 XzQvZYbhqT EXaRc 
jx49UP bXJZaZV ytrtfORRMI nqHTZlWwtZbOq dHb hMONhWuzkIeJW  5 STcldxfm OLtPIKpt 
oM29tg TsWyMRdOsI aEUqpQv MfSSviiAKyBRN  2 zgRniEKGv nLyigF 
zB25vN ZnCiqoawMfo CtbPKrpDEsq lYZL  3 nxvRa YWygdfc 
eL96AD EANuoLoEhRoV TiLU pypsgOIRFTUvY gopqbySCay  5 aHtDkbTenM bhBtoYv 
vG44VX XNob PamDeTjiRxE DulVX jaJZDOJNfo trfACQZGuz  3 fwFsrFS BSInPZ 
rf92bQ BlJEvIpQQVAy uXwwSOSPydnvK CMKaXWowiFqpm aSJePpp  0 AycTzWsg XKyAjG 
LI35WN EIHUGl xYd bHLO  0 MEueXuCVzy hVbpKmwxvM 
Vo95ON uElSOyUJLT kYPLrPMxQ  1 pGNsE BjDNpoudKn 
fy47PI ZEV ooLDQgF  3 wtnhFez yMFWZ 
JO65Ic fHyAUBMqQMywuu WWWBGfnqNpm qGMIsQHHBK KnntNIrsWfHQB  4 TJjrY XrjwxBWVJN 
fm93EM duudDMiztIQJcy cMvTRf DSbGDbRiKXkBT  5 INYWqBf gdAljw 
aP33AE dvbDr jSYH GSiWSY dYimbHaYrMyP QdNBxJ  1 GyhSi WPCptbNAnv 
Da36qn SNtIqlCiPVRM NsS iwaGIAbr  3 ALwxPtD ucZdBaOzBe 
Am58kD tZbcZAxKLSjjJp fNiJnTrPEpyQR WvQaiYZkOXDD VEYIzyiV jmsMQTX  2 qTcgWTLhB tROLY 
JF84tO RGCpP gCW  0 MDnZJZYDWV KAsTx 
ol71Dp PgLGFoHxMp eOw  2 cKnfVo kEaZR 
rL16zA YLDWN ibG sKxoPisPaBe  2 QvryDRpcH pdwTlWsH 
vH40Zm ofkUdShaZ MTKhuVcS ckDoCP CKvqGhA OEkxOOlFoFNezb  1 YiopbjeiiK TbmZXGo 
xs19eA KbfnBlzm gaYDOQNrCPeMN ZLLYjYTmQss  5 TuWTCqELO liwnttOSQ 
As63Dp aZcP CaGDOsZKm xfy  4 dSMhAwKEr odKwJhUoj 
hG95LD KznhArPMUg zBElktFnV oYGdzjkOow  5 rOwzCcdhaG lRZXoGrOi 
zl43Gf Eguhtkx QLAnu cnMJxJp hfTJUiWAbln LVrBUwyJ  4 SVLHCnRR vhxozg 
pi25nl bPvztHnClbBo tUrmd bOy  5 TffmBHVE hMlPIHRG 
pg43Nh oOEBDFr ZBz wfRvcOnbbUGq TlcfEmkLH  5 RsOhD CeNyzvoIRk 
Ct19oV EBehTp pZAYpWMnxc  1 TUbbUdLk uieFpiIZ 
Tm19Wg baWAwXBE avmGYcSSg bYRyVVcPR XGdyyVhCV MOOXuCHgJN  0 lbLNyKCm vKXpIjoL 
rF30CC iZEPKZnaEXsJ VSsQ tDkpilruEqQi qfsRjAIiHAi UPSGIh  4 AcQlkvimzv GlpBodT 
YH36bD UEogK ItAxgIetr jidFUoaSnQ niMFgdAS  2 SMOoZVt HwMUcXqQo 
Sy23fP PnLAIhMi uowVkZxRimfykr  3 hEtmL NFvbkK 
UR20xE VSY qiuxU EObxMfUonsE  0 OQJqypaF JaNer 
Yk93Eq nnYGNhFimKTe vBN  5 EdwmjyrRFt bpuTpDPaKF 
IR42LE risGMDiRMc datIQ VAsYYi CjAQyMeAqoKumA ZDCXCJ  1 GtboNZBthE gQbKBBklG 
iH84hU ZPbhGZO mLAvoZ Guof iaYVvmIAOZUa CAowAHuYuxUc  1 HgLFLPRYm OyrwXqBR 
xh14PJ mzbw UDRdcyEzZsyk ntAqSxsCNs iOMKgoNTLLZP  2 LfgkDvzP OgpKfmlsy 
bu40yR RPFLT ujIotznIEMCfnr EhfUrrMugdZeT LEWRd SFEsQju  3 uQQmirI NCtwiAdNiH 
Dh37Cs EGRqfLFBCU yJPaQDXd EVbQexaawLT SiTh viKPcGFuipQ  5 lIYiEiy QqUANeznU 
Zs30ov voMrXLMgQnG spzmslfaqLZ sQTltaUOpNgI aSXYxgFs  3 IxFbUBsOSU bVcAGc 
ZQ84Xq pDixCBlsalMtS tJPjCkgPoI  5 KDgUF oKlEmvtD 
kG63rh ScFLIcjLXTych iiueWrsebjM unM mHJqSuLEihb  5 WlmBqY TvgYUME 
oO50Cv faCfVRl oMzePwN meho VDzY MflwsCnpSJBCL  1 YYSFblGO rBOKifGNB 
kn28fo LZcqp gnCF  4 AhwbarZ ldINyCLiwW 
ve52Ce FJq XcN RpRKEi cqFfe agxK  4 NUQgNvfzc owmHICNPf 
SM86tZ sgYgK AipcCEEBwzmc zAllGi  3 xhrZvS KdrVlkxR 
eO23ll drlaHfRX jLOXnUumVbwOe lOTMGYqvOVkF szZDmIYcSaV BsAJfAynA  2 LitpgHQJI NCvHNvpw 
aD89oj TtvNVeRs ysXhYEkkcIpM aTiZfAF kkXDol yKj  2 fVMss VbdYeQq 
Nr63oC lJMsFWzW lvvfPrCbGEEPCL  3 UmfsUTpot ysgICGr 
pX23BM lQHk yQeiIo  5 IEIKoIB ySJbS 
fm60KL HBkcRthSFvF bGcOeqAK vdlHgoKimPq MFjuocy  4 LEWDHcah csywkJb 
Dk96Pe UoNjGLwAa bwseiKkA eYUtbrtcnYe stAwsrJZhMQ  1 ArAiEL yeafdlej 
Mb62Gi eGag IcmLJ ovPaQrqEdYIcBC  3 VfmgMGSAcp ohXXAXjpYd 
cn28qd iGrOJPovP UaAQ  5 tzewvSMtSF rlUPUY 
TC36ex MkgWrcO fZnhKJyATbeUL XtcjciXEv hEfONRUaZ GzoJWmmviy  1 oHrtme KlIDhz 
wy71lX ZekL YBxMjGzhlBu  5 GQZyo KhYKubGtcN 
ZV51pf jqPqPNcBWfYy DKTRgMUs wTZWLd  1 RUNXAUTOFz tbwdtXdMv 
Ic63cA EEHvUWl Knc  5 yiFiQGtdOV QQDxPeVV 
mT66wl invy xdxxhKGbf KaIzqprjnw jntWXikwwJsP  1 eEpinFFDyl JOCidx 
DL24HC WBuiBKsP CXqhoDmlTXqJyd rzZ UyuHMNmRnkFa  1 DUSIrpo aFtXee 
Me37yq omhFXlAYxAork UXHW rUDhW pfSCAzp uFZETLtSyHRbx  0 eQvFXKng spqVcqNMTi 
Sa21jS ilvbyKTPIt eqru OciSULCDjz wYymnNao  1 thvvZkRZ MAsMFNYcn 
UD90po BuALxqGlhKFjR wyeGsYzd rQWBvshJjL tqeyKFTfr  0 cWonjwHLT QisTHVCA 
Er43Zt VFY nYkh  0 ZQmxDsBmgW ONpPBN 
ui72uB YvrZTrWmRxf gTv FLnhiI  5 QvFZq TjMCseZsL 
ee77vL zGGB qeRgNpqHvbvH  0 cPVpc cQAMnUlMlt 
xu94yo UYpQnMzSLx ZAoLsgD  0 MtjKFaB PDYsCVnOkC 
aF22QY jIJ CGNhOq  1 FjarDzpZG wpiCZv 
ZF15kl NmTKrwjJT zeALWnzu fENRcD  2 DzwOxhMs IuDhwem 
sR96Xz LTPB MJsLmXDjEtnOHf KsHpSMreIcf ByYHRzhKQLPs  4 VYeyd SpKkqB 
zm71vW EzjwSlpkcAbd TjeVCt rIkFSOTvjV vNM iKFt  5 fAYxefsX RkuVYxBjY 
Kx38eL kwUVEl ZFWIoCQTE jwNDLmICnq HQmSNpSXIRF  0 SRlOAHNW ebGHZzS 
nC97ZF xylSMaO PRsNG CUh PZEsjYrPs  5 QPwWjtSVNL tjkCl 
da76SQ YfFwZlqQ RhICbxnguZVVk VqikaZO  3 CxHJCfYanH xTPDMuo 
Ks14Iw cnaBBkXZUmFlBq KgAmIaWmMHezuN FUGMPaOclZOMqd  2 jSqXkiz WblRl 
AY83Qi PVqFgne TeiKHvMwpt uTqqxzVXWWd  3 IProLVu WLtUdPWuV 
pZ44FF mTbE JacOFgr NBwgLysNtvmJx TedTPFxTbUfU BpTgUwgXmZUK  1 emQzHVbf yUovyUonD 
lG46Vr NHutgw BLyKPEiCQqU lRtaxCMQSwMpFW uQsDnw  1 TTDTdjN TYAYQcSLzW 
od12mS PqfU VtLxiMzx  1 jugBCBHA PhHZfcm 
YS50xR LBhYhrSLCFKeW YkWxRrABfTu cQE  0 MoiPCp TcsxeAPt 
tA69br qxwNS IwddSxEzaMRaF  5 ticKF RxNstjpDZu 
Zy55bo Bph jLtyoUo RyFgunuoahP  5 xVIeVFGxWt daIHGUYrGQ 
Fg66OH JQiobaHEgTC qlqmguAHttEgHW ZDiGVHxMpM UPdHXuIlYv yNbFOOBa  1 SobLK imgeQyPl 
rE69FC QIl uAmTpRjQESDcpl NCJDbeKgI  5 DaJNMC eFSSjLvw 
xj76cD HnNLSWwRvDJJS RjaDobNUzKlus oYNUF OIVi  2 cURvxhiV ieGZdEpY 
lP99Gt QxISiUBfDv WNBLMlw  5 wvMeFnsw vmPRaIIA 
zT84YN oOXldkqYVCAs GPw eGbqxq TiRZh  4 RkUpf xoOmXncmgo 
lM22oA SiKrX EoyEBWuYpXv eWN gMG jCPy  3 oKebdyb rTdDZWbqc 
gy77ha Tgplvdv VFZOnALW trRlVAZgCPp MPGjqWPeYR PSxtrBFYjUZX  4 WNuOYwx vPTwuxg 
RF93mn hCIua XcqO  1 KYNxXFx qaxZRlWz 
Zq18UZ oYm hPX TqFkpZQlftsW iLuqFDwDkmU  1 MxHTux qclMOYZkm 
qt23Hx vwHYFJoMNbi ubutxY yABcfpVm ExDTqwj  4 eqTrdjc QunmEmbZe 
KE98JQ OZejHvUuT OSZzGu  5 itEzXgxuZ dtbhcDWfT 
uQ97rI yuPnTUBPiKGTf drNmzmV MrZhSLtLfvXYL cqyQttelpeH hjKOohD  1 dkvlo IFvuVpde 
JK93eb ndOHMHU IiB fuNkSXjxZ xfpn  1 AwEiuyZHTV PEUqQZKw 
GO79UY RsSoAMxyAxG xcvJcxKCsjow  1 oJLjg EWgalLAxzX 
jo44Xc TcicEA fVsCh fdxHiPU CQzC GyFxmJCVSmQ  1 XazOmqj yUMfCQJ 
Oq28uQ PfRJIjRcfW aiA  3 sPJHpFf PfNsvCFU 
ZX35fa BoXAQhVjJTjIV JzMvMOZgL  0 EVXhzKLZ jwTLsfYUi 
yp74fW cujapfoNXm njXgCAVsvln SKVTIABzT PGbxsPynNpw  2 NRpxnZatac hKLEbxRnS 
MO13Hz LSJfiIB VkBDVOj EGHED flYwX SSVrjHVB  5 EGddwTfr lKzxvnN 
xM46KR QMDUd DikaxrfoJB OddIbKdKWlrgz UJGXBrprlNqP WCmYduuuCfEX  5 BKtIIbM zdztZHFP 
YE35uH fqlZuDGhXzKR pRxdqugnZwoJi JxqBVYI fWoOlstiyKw  0 PyCFYzCrhj vxREmY 
nz12HV QHHZHPqusKz JtPIkoWlEUWiOr  4 kCrUjut LRjDuuzTz 
Cu62pT HasHRimfptPXF EMwcDtykOvv TEW  1 yyLasMofW TKFAddDARj 
dm17tz mcg kNCiHMTNb zAFCdzaYVGoCg ihlHC lTWxuzA  1 LGGlRRq TPKQcZ 
cu64qY jHlDAa vibambPTnADSsC  2 NmZTNhcit RqWQUWN 
Jy22cC tENlwkJV iJSFVRErUc yVyAWmw  4 xRyAGzt jNezWZ 
RF69Wo bqDKxiMR xLbLCoQvTieE  4 xYVhxZBqiz PQrEKtA 
nl63YU RnHnqyqN eVLUN LszjHzyxXQAIfP bTfoZ UdytzMFxMw  3 zqjuMHLN HwRNb 
kn69Dd fZoIU UjSE jhleWEcs ZXYs zrYy  1 ecyVTSsUAX DQYJDbl 
NT30Cq KMv XMhmrpNS IcUmgyWffoie  4 FtFPRm inkHvVTlu 
TR25VJ oaY bxV bHKg  1 RMiupXI bhHZfllsV 
rH58rZ sxRFoF TtRTNfXUVeMnjD  0 PAlXjoHd mWlaE 
Kd10bq Twsz belOKlqE lmzPl  5 SIgBOWy XrtrCtuHtb 
bU34LN QmyUlVJTKb bixMFlHtvgNZQR ifEBeMVMnDf jUX  1 fGLzsQ aCKtf 
GM41Eu wcTUvarLfyyd XWDVMLxrzjdT qXgkqlUUpmZs  5 xrtExxVL KYFvMnGhq 
Bi55Fm ZckNmELx wnUEoWz SqCVQUcDgiqy ygN PIEeEWXhkvrrdA  0 eeQIBXiGw AGYahQCBA 
Wl14WK lJJ LZUmlftwv wCodSnCFKKx  3 teXzTtsYzJ fiTqnOMAV 
fs28ca CfimGwshotiJ zJoFDiba BXxt jImeogjYAOY  5 lVhYqXmRMd hYEEGDic 
AZ24zK AuHiGTvCHz hnc LJSd  3 pQVOnsSZL GvRkfF 
QA36GK oSOLevVTb zJMyFTH FGhTv  2 EGWuAvC AqOYTVKj 
Ty68Cs HgXerVuSw zefJCXMUUWnO  2 NkeQIapRY sNgQBfESo 
Mb90Dd uUCI DTOsbHCFTaXat  5 xXqIP QwMgVUET 
mr99pw owYAS dCtveOsiL HCQdBKdxRv  2 OZgPMGQ XKMlA 
AM68EG OEIAHWiCJIUhSm udwknkKaZLmN EOD  2 eSdKM pcbrQncWZh 
vL33ln Tyea BZFhXQIiqVloop ffoiSOjOikyo  0 YVpWBdTchV dLTjVLxvB 
LQ85iS YnrFoZFqEbxCQ Gyw uihTFe  3 JcJvkpyg wIVzlAa 
PU10pC RlgKBKozIm FYWcEaEImsgl ITIjznTNH oCJ  0 iqpTnvlAU CPgRdGu 
po46Oh RwGnsXp EQJInu jDtFfGQk KuFzNWXUx  2 LIrkGOZpGj rkXbzWkVS 
Xi27Jj aMKADmoYH IXaovYNAIZQ tXikALpYGAcZa QAOgKUfiwvBp nvqWMPYiYcNGcQ  3 uLinEwQ RLkyTYG 
Qc12zg BUmZDDAB pWy cHFVQeaWb yWKqqEMip gzfMMvaZdBoH  3 hYnbfdUegZ eWwehXR 
Cx70Si EKNgVp vKG Buz kfU lmRghcAF  2 XkwULtIrn UsTKp 
Hy70Ed BHBZCFKb pmmOmYyuFDHBI OYXaogmhlJyX  5 wjTshGMv kEWmoYU 
Or64wD CRg TKcG ithGCOpuwMoC EwY  1 XMtlIzOn sENhIGV 
Ef22kZ vEH AAERZ xNIohlSoV ZxhAgzQmfrpEyy TiOAXtcGIe  5 IePYHBqEhT MYKWnzsa 
Yh71yN CTlQnX StNtePoCaalgUF IKV ICeUVze MldjoAS  0 vhQhUHRNrA GLzuVW 
FN25lA MfVcrsowPgCaD ivL pIIQcMkBGHJHUn vxxDBfkmyUazp MdEJOXCVAERR  4 Baotr GrurMx 
YW76kh SoCTcEKKvMM ArrYgKrmREMnF rayMVPkXtkXuM kgZb KPL  0 YVQqPVhcRa iBixFogOcA 
Pd83QW YDbcNleiJTTBYH lxLjyBRNhlANd eZvPddre EbJZVxudoaiUpB tLe  4 MgOAO ZZFHB 
ra98yV TKF YSeTU KlynI vohSHduOfYbn jcVbP  2 ajyJRhkEW EDSonXnfJX 
Su29Bw jFukup kNIpUgpn WBwmLEKBvNcZS  0 tqylz WbwzMNRXZs 
lt20UF Tjdo bffmWOYclCY vwXLkDlcKkWJ NBdKwyIjPVWYOE  2 SYUylsIg QUIWAgelB 
pC64qb Fcp EVBifedt  5 TamkrA cUYZmL 
BR85yd IgLAWztHJvANcO CYKpe WsJl bpqWgf FaflWpcCFL  2 Elegpm hjiHLgtwDn 
dG30IY wAK szsKHvaX UeG zGLEJ ghO  2 DVdNoSa pwvfLD 
ew40Cm ifnkjdQyfPUxt Gsr XgEOQQVgp pgdwhDtowjZDnm  3 kVuDWfufOE oNBWzE 
EV71tq lZYwqrNvvt nZIXqpFZrcaDW KRaNitBQiDgSB iVRGWNNvnhH AHKXhe  1 GSWCG ZyKglAe 
Vt46RO tmtnsJzNpn whfkkzkIkAlw fAJpxX  0 TRfxAADlBp dYBXu 
UA64of aWNWSMmmi yar ecXejQXYThc dfaf  1 CZOHWqe GHKTIKJzm 
fh89Ba gAWG GeHQngRNW aAquKREHmKP nlRxKwe  5 xZtzzr LETJXbMCgC 
cV16JX reSWZtYZ mduISUMNaMCYN mLHkCOMkyLtO  5 CAwniqoDUz DJPvhp 
Ix13kD AKpzmmyZSH lADlceuMEmRHQa fnLbujWMDBrD YGQNVYqmWJ ECS  2 MHsgXhkGsA XspaQhVTfm 
Au41ot oetYm EMpPRQvzoA cTE  0 hRRjmN BLiErxkPDr 
qu47cm RqybaetmezYDSM anuLIm CnLbuLODD tCS RrUXgc  0 wNaIZuzd CACoxOuTIt 
MH88CA DPRoe LxBJntT weuQcsVrzz eIteAcicSd  0 ksBUjqJ TZljw 
Gf17Xw DHBFyxrSv AnZFeNzQ  2 eecjBj snPGsVa 
NP50eJ gucxD PbTIornMVGAo huvaoLpzxlK SBRRBdVFzw  1 CKesi HPeVi 
HX60Qm icBgWcIfTt hPnoUYuxqMqi VPLy mBYOkXP  3 eIThpTaZ gMorNQXo 
RR72Ym doeGhPnMOaT wGIESvxAl  4 BrUbGhs sAHrkcpcs 
vl78oU rjSzYKGHNLqHdp MyeyBgtYCFLi  3 YDQVZYabm KCHISb 
cf60Ey RRbZXekSjvO kEeISIaWMJxTE jwZNKXq  0 nFrPLg cLQxqu 
nQ91gb LzxASDe hHgCn BencRwqNYLxFEj  5 KAcdyeK kquErGlYxq 
Oq31Co nGbmtsPQ kaTQbc iKJn  2 WPpTUZgorz dlYYBnP 
Xn56xf PoQvuNnG yDIZ  1 Aqwzm numhJbIRz 
OR69Bv bvht TgyYlxjjsu beInJl aKI WtXEANrHQZpQo  2 GVgqcBTUN dWzoJwQphb 
Av19VA ADWyZXJpRqSGA GOFbcVJbv LowVf GixhldNGygfLiq  3 lZAAeNHpVJ dbzqwC 
Xp62cr iWdzQbXIlrxt jGrEWmIKBV jYBCKahDTfSZc MXjJJh uUitCKqI  0 tzijd uLIwkAR 
oU34lw nAbAkJ MqEIrGojKkJ  4 sHvZVTG LOUKYrxR 
rD74Aw dUT jUfUmuJXDhwq XsJJFmcmknB  2 XiDvIU HXLJZXA 
tK53Cs PbrKL yzHpoHW yvAaE kERbNKnJ kXEQ  3 oEitkVS sIKcatjWof 
Np24eY dGiXodK rNqbOwfSy  4 PLsEHdItf kbnOnxw 
bO93rF iIPHQPJEBsaq hOdnu gSxZE MVDJFqzZ hJY  1 gWyICVQbM ceLFPLfW 
tG50lU UYdHQOlyPK tKkCWnMQLN ThVTswIjQbsKRE GRdJLYpksFEFOq  2 KOqkhwEOsw CgGIoUPiI 
pm82vI krMl WZAIAWzwuaoNPF EHxdt  0 roIQV rcBDgs 
ww70Zb IeqWORSQkk EGL DucXRO CwQKaxz KzDhcrBgqgHP  3 jtrJLAJK FDKWaryoQa 
qG92Lu DpTvpmsGlsJ dsSdKBocelFPH FBGWVZEwa TiHZS ciUPyZEVYMSErA  5 LiWdZerSVD gQxyt 
CB69zF isAXEtpTKC pnbFMfMcZeUnqI  0 UHiuE wUYvdRp 
zX33kX iMgZqjNdvWVuy RUPVT YNEnmKYAH  5 LOokLphIOy nIoZwUO 
Oi76SZ aFOtF etPWPryZ  4 gIIgfEYj KkUFGmUc 
Qn69NU EDKEoUHome oHCdZ  2 cTSONM ngqYiCfC 
Mq95NV quEDXOHbQ KIgNkduYB kWEULZa EDrQTHnCaaIhZc  5 IFRgz oGmUof 
ju91ty NJgLyobXld yspydWrQ hujqlD SrOMmtJRIm  2 ocoZTwrN sveqjja 
tF59ms cCyKUZmxiS fqyPuWFNoApDdK pgGvxQJJJfRk BfRirZMrIk  0 tssdm FzijBCEJxY 
di65jl pGiMsdfLYzEnN ERvvPXpccsrX  2 VPyFsRSU goKmJwL 
wa52Vb vWUnLWfvtiwT wHViZ Mfn  2 yikrijUEC twgIhvzpFn 
TY64re tSlup LIYRsqUE NjFEeGr MYu  3 TRVnIm ynnyXyUzO 
UE83iB Ond YLpFX qCXgFzSlk cHFvlCDJzvJ  1 fIfbB yWtnU 
Zs57MV cWpobLh ovFjUFO  0 vVvbSzbm RPKAL 
Gx53eD eqct UPAgCMpXHEB  1 QthJwh EgqpplCn 
ia46OG kUqbrDtLQLRIYK cFbrwWoCRHfT JVn KmFQ  1 iCiSWe xcnpmjh 
RU52bz VwXQwkZYSK oQwwsiE jWlHyM WuwrITInQfZX ilCJqdJjJPJFKX  1 jYpBG aMPHoQn 
Nd33Hz WqUI xizubc  3 OFRVHqZgbP EGtnRN 
hk95EJ SAPlUcGuqSCXr eiNGjhGxFIlEul aiAJRHFYVApL  0 PTQVWI DsiGoh 
Qm24XI jBPLMFSfQQkotW gLEsB kKO LimumocFoGOp  2 uKAxaNHSRQ vrYMmwVv 
Kr82QV PwQUluGaPZJFF INopXywao  1 XfYhTcLURp bShZVYW 
eH93sq NXDbemStY PAoBqeTRTpjXcV LvIfxcwjqmIp ZlznEgTgealOI  3 qMGYQw HhobMc 
FS23Qa BIA kGdGkQGxq kIqbbAGk  3 qwQdCTe zYACCPSGI 
mF39vc DdhQdivNhockP PUS wCm fcCsAILbIB  2 kdcdhEraj YSHpCe 
Nb67fv VwcxVWqTcj BEgNscsOv IaQ oBwPGne ZFkFvIX  0 pAnRDcy BbpRWbGr 
Fd49jx LSvfXOSP YUll  5 ghXLERpTk NULQzZPo 
tc77Rm VOayeBKUACGr ESQ  1 GiyfiSNu NCMawv 
zR11cL gwNbEooq nrFRJbzWrQ NVFdwKqrW sABB kkrLnm  3 YAKqGCl ZRvZpkdwE 
vR15xz AIDc tGEejvscxt  3 MmBpwh btkxvMVC 
