DIM_BD 25000
AU11SG BHF oSKqG  3 iyJdmOrX XGknaOtRWW 
Xp29KQ RNurJ ccMHQFkzfZIMQp  4 xpWOK TwPXgu 
Lc25zq AFDiKuvgNcd cyLw YUzDYBChPKjfH  5 LaAgMhTHs gqDwrSu 
Cz19Ty BWrgZnTUwrj ZCy BBLQNPj PHxsVxfRwGquXI  3 yfIXimwa nWmZOLfZA 
YC98ov NyQixBuIdAcoEM qitRFOgVgkGwu wZXEe  0 urBuMLRW aKTlGHJToq 
OF92wc gaTrrbkygHbf JovKXXCnEtxGgp  3 uflEE YfmNd 
qO97TV ygLuo kUeqa Fdv INLqNQV oMtprR  3 WnJCmnvd oohWF 
PL46Tw TImHGZRvBz OxWSnFosZuRt  5 EoGSlU wtaaAqgJb 
Cb36Ki OFFWVSVeEWgt PeaTNKFDQ MKfeIfahLQvQYO  1 tBESegJ iisqE 
LV44aK EVoYG BhDyst  4 dSmNqxCn wQNplXCe 
jp91Kd vkVDuZdXFuMpl uGVYrrb YuUuJzxRJYdqgJ GMsQbtnKoRbEth  4 xrfCFXMOL dpKHMUf 
VF76gX uLR JBrer IWgDFwTvA  3 rmNGcYdr UyBpraIZmc 
wU47wP gYAcS OMJCuwJ WDoIV  0 iMkrSU rWSDLo 
my33Wp YPdiAurjk isERr lMdLI YvFlKPhWCxxMDA  5 gtOyWlFm fPTsfcqJ 
Qf70TG emvPVR NvJxgIXpMiR  5 zDGPJVbrY OHnOYLkVRl 
nz42iy uYxMfgw rfipfFgJl oxDtxnjY xtLuMP SmTEpAjQIa  5 vadOyzDe ifTXDGZW 
eX75au jYmKEEYmAYxqee cjOUIZTREr  1 ZOtwZwxQv avdrLNe 
UU98Sn cgtgsVKvB NdtPvL FGOXggmHQ  2 SFYPZ QZyNtlOjZR 
WB29ow oUytOilgz eOvVqaGB VzYyT  0 saeCi HvGNc 
Bh34VQ JjQBXocFjn lMkdHpbTob CRPMgIek  2 eEvWbrGrqv jEywbM 
rB39UW HAxU hwsvMSIAdsHG OAVhMNhHHRcWr lXiG sdvXjFFEuQCo  3 IwGviElCWA IzxrK 
do92sU hYcXoUjRHbqLG kIw  5 ExsvYkWxw OFVJyLUou 
yZ17yn jpmyJHevAs bSnWMPcUwGrorU CLoSfdRlfPr HSvzMitpFpqi  1 Tgspgg HQdSjEUru 
VJ55EZ uSyxO QoZt  1 oeMucsq tGWuPOU 
Mg14lg pUZDDDi XrYenOGjwd EafDSnqm  0 ymJfah ULJgR 
uB38fK UrZjBqbVm ZXsNDEGPEMaUlv zzVQkHwvMeSJ  3 oHvKqiHA tKQCAbbYJd 
RS78KH OmqP InPkIbUfGqjhL oCpkPqFGhMH QZtlOFiYx  1 CwMCoTgB eewegdmCIY 
ua75Vd WjGcZBMpZ AWzNFOZob Atyt ATlvigp oupWTOh  3 ljlKWBp ISkCIgk 
HU34Gx rTiCnOM qXFEzniiPJC QeCpSRpOOnq  4 FVqGs xLHPcor 
jM46Jd hdYUsGopvVcW iQkouUZcnaW  5 NEqPuPU AciPeNi 
Zd65OJ HsmcIHMXO cnBqxMsxfyMW VUnaQUIS  4 xacRx qsiJvWqlf 
Jg15IG CnvEfPTC ePbcL BpcuiCsLh GAjIa qCqCwhtlWGvM  0 prWjfZosK dimipB 
jK84KK ZIWiaeYxnbC ZbseVqwXlA  1 VzmwQS XCQjJaF 
nB66TS sebhZMpn QNUGcxG  2 PjihSj hBvUqA 
tt13Mx mRqENAgonHCgnp ALquvTe VFXVhwgLSQHr dDXVJQyA  1 dIvcG hifGfN 
Nb47SZ CkK zlygz  4 ETFRv vhQeV 
iP48LG GsdqF IlYfahXcFFMh BADjYKbg pCHPZyx  4 XZIgacwkK OaPqBmAj 
MU69lI Nrgl LDGxS AJnGpnKgXFv igWCuNKo  3 giYTfTF FwDfzZji 
ji75Sg KlreOuwyO jAsRWpHxRgQ ZcWNaA uUmPNlMR  0 abtEBywTz stXdig 
TY35hW Elu ineGlxRxR vxpi  0 KWUeRlVXzJ VQnVPjtyV 
Mn15XK zUyRDphI Pqdt PFf SOkYRA dwcIANbK  4 oNFcubL urYupq 
AK81Ch Ppjed pMMlO BLxdYSByvpTBhT rZq  4 OkXAj UjMrGIrKQC 
ab73df jTGAUcmd bMzo  0 HwzFNFFv ysWPYN 
lp98Yg bonodFMNDShfkb sDUMiHhBUpNNPx DtkbfIHkQgKT  1 AyoyQDMJP irOhwcth 
LM42Zr gBxkEvKt AZtWC DJauPVqkk LZbNuUU  2 WIkBdn tlRjNc 
AH37jv pLz iRqTpcKakVzFr RztuLJkSg kjs YXxTX  5 kzVKpKy xVaST 
Ap92TB KiWDwC UPUoCZSTvO pQfLLoxsgLy ACSyyMhNmca umarGKw  0 gaOWMfkpjg UvsWRoA 
CT13Ub QDsAAE wXQRTVA AscSiXPbVv qbx  4 GFwFNPsZ EcKsZBls 
MJ45Km LNnJcAPv XLt kbWVCdaFrdL Ssq jdmFRneoab  0 jNMlIuK HCPAPeR 
VE23eI NzNZrbXfuZjd YcjPbYzZUwO  1 ZQSvstHpK VltYXzkf 
Yx35Nr oxk ayBA xmWeaAQuPue  1 omIWE yuusyPCD 
RK35qw GQZyTT eexXaxbDud eKiedAVBMirfVi  3 qgMnwVfl LxGojg 
ER91ym DXftdQBNIcTI mimimp YUENipnFpajRj TdEt nYaOcClrUXQbC  5 LafBikc gWrBGeEprN 
KC69jW vOrDiaiVYsH EzETMcHM CfNMaDauA  5 cwNfd HdPIXMYB 
sv95tX CuELBSOjrYkmHe XHP  3 eKnUTO gzdTkRYcKk 
iA58uc HNo QNta TvXXDYnVZ nffJVpZP lTfJBtOdHtNo  3 YKdRncysSC UIFnZ 
Sk23nY MzfkjYmZJmXw JngZJGYii aoZRV NaPetZfBKvNgAd  0 zuEZJS vAAEqFsuR 
Lf56Fu zeKplqyWrb oKdNy CklykHJTOlas xGBPzLpWI fEF  0 fPPyIerGop TNVSWEht 
tA51de LYbdIOkWEiJcp MEWmCNRG  5 PqyUkgK NLPuzW 
xo60JR AYcePjIyczW hEtcMiDTfiR QrPRgThpYu  3 gdnsArZ OfZyIasAnt 
wt42CE MWtRkv xccZtQEvfK UdsataHeC DEtaypoatCq  5 MUkDCTl CcGXPSPC 
XB32Dk mcVG XnqqmjFUGBGj rdc  5 YmDaQvVpA KyvviAKVm 
tm85Qc yXIjwpLEtC fsZnRKiZRaX vVqgdkv cBZUqVJGsBoMV irByrPsLiXLpv  2 LpiIfznRqj BveZha 
hC91Im uGv rBsjISL KxxOIkBzuHz NoUkZb ztsXEFcwPno  0 OULjVbOj DmwmK 
BN69lO moF xHwAFwzdYl  4 morMP hYCPBLwDYy 
Qt52KG RKPYHef lcYpJLEdzIay HIhdbpdeFJ  5 oHxMTq ZMWIW 
JG67wv wHdCdAI oGJ YFgrggQs OvaXvV  2 uJLvcUjSw wJGcBPKLaM 
CV33AF AtNGM XLKonzw qZhVyLfNjZTj  3 YSshyyudWz cURYHlPuf 
LE68PT GfZmSkSwV ymNiRM ThesgJmORqaG  4 CaQFppfmsu jpHro 
ps53VJ AjFufLdIV MxKAfgmtHOI EfbHViWDcR VHdwFVsak  2 kBthak NLvovS 
CJ24Ba QqRtqweZqXMA MniAWMjH himwWDW  1 CxYxBYDA GiFENt 
wB83VR EVcYKRZH Uah xOmgJimjqfkvq qeduZsmjHXhj Xajar  1 cfMXtSh wzJndcAO 
yI26gs FYzgqbjSpWpoNY HjlbyX  0 cpNmx aCYdkvkdsP 
XD84Mm QiUTjSkFDAsU yCSDPTYvL VVPVwqkOCpOU dbywf YheClKJzUHN  0 rorsjGTp LZEdS 
WV29ca gkjUOPOwn tsAAUJ xLcKIozHgnTOsE qHyb fgqkHTHR  3 QqtVkGuIN beTsQufI 
wt36dI CNbQikVaeGIwY cnovQFLfgrrJvm UnXCnzuZ  2 ndxKdtQCe CPIJNqsTM 
iA52vr qdPJrQuVsPzYre nmaeOMEwxLO YYP ebKIwFWbt  0 DUYMAcgSVq ZNODLO 
in55CB aRPOyEipsBeOlM BOMoj UiWUlabJKKCGt wJi  2 XiUzwvXUn QvpEnXh 
jW68oK Ojrkxlumr aLWpgNM NeOf  5 POWTtuQT pLUyFNgJzu 
Oz30hz khGaPrOMku DjaEFvUfUc fntzQZcM ccq CxzfmMycZIf  3 dyFbivVB bHxBIPT 
Mv37xg WzvzOsBMDk wAkMDGQLnC BqNqe zIZRrHd sgI  5 LkOELJQo uVvSAqRO 
Yg61KZ xgJalp goHFAUUuTcH  4 LySXbLjHr Eqtwv 
OW36Eh RmUdtAFlTR KGHIej  2 pzTmQXLB lqYUH 
CV43mN LrTzeIswXc TgieL jKi tUjB DjoVMxbP  1 VgYvaXro norbIMMuZ 
kz42jD xJcUctJIGsxrkw yrdYHhgNhtPMo  4 ZVJCIP HkWbieqvI 
jR95OY alGfBPAW sBwTZJvP  4 YdiZwShG MHNAdYWnG 
ph74Ez zCVGSWs qzURphLbT  3 JFbNlEH CZypZtw 
RH86IO uWjvnwM miRwWhnpCfbzbI  5 OCgldF NTDDo 
JJ11kr ucjGsAhpw BiS hzaquj taphzDFTNP  2 hTXnsdQP EamlXv 
BW76lo dBQShLSh pfzD wde wBprsVGQuKyDP  2 yDDSqynE RUWqrD 
CO24eR qHC RHzLxiA FSJPTMgWjVp  4 HXZFRrrV hRLGKjmh 
tq56WF sOUaonvPHvM uDPavZj  2 HBdbfINgLr bvskfbQ 
gX24Wh duXRV DGbxrMZp BhsxXENjkCc  2 yhKUdg mUdQPlQxS 
AI60wT lptgwKVsKzwdAP wkZMGT  5 uXVOgo lakuZMGYbK 
CZ60MG LoVAZtfHcQKukv FhLI oPX zdmqWpirKhsuXZ  4 plgvbGCxX JPsdor 
YW24vU fOshWxbpKtL MsuVS  3 aOlJbDhfkU RLZpqq 
MM62ra pxH hbGATBjLcFai pRZR JsbXbOQXDHWPv  5 CcLkKBoJK NmaiIEHOeo 
TN57gG KshDKrVZu GLEaW  0 nAUgG yzaddQxY 
uX29ou DOFQ lKEnCmH xQQ  2 MCYOaQFcP UqCUU 
XB49ju GpQEou BSLPqzKy oJHiGvmjuQEGgp OslZvkM  5 vNVOTypZYv VsHhSWfj 
Gh62te VKjdGOl nox RZmsREssExl uivJn  2 grEjr GejQyiDzs 
nx80yE NypWhWzu FYeEm XYn yAwqozlf  0 qoQfKcKy XuMvLazTxn 
oh67gr CsKICLCtK yKZAhUQV cLMEMfITkjo  2 bBbwqcKiE IfnnDFK 
TO98pM fmC acmMmMBlENeOXm bFcKQHngiGvpgB fMJieqV CPZxVrVBl  0 hpaICr ESkzCCsHO 
Iu26Vj WDR ttDJvYlM wWYYvfcxJCZTI uTMviWlUNuodKx TFfVkj  5 nZmhm RGwawqdUO 
vn50ld qpwuALlXX ywsJCXp FeOAUyXIMt  3 VFVtew WsFdvD 
Kf92QC yCxsjQieFOXq BjfdM zoyzOJRROvI NrawGTGantHHV XeIWZEcHbaq  4 CjfVIf JEhYKz 
AE83zM TOanycsrp jSpdSaloDo VWzmSDGHCNX  2 VGnmLGaY zeTeNu 
Eb95fg jiVMLxvLI rndKEqW  4 gOKBJBEHf SFLgYtQ 
YN34Zo zio NYXvs  4 tEeOLZoQna XdJYCrquku 
Du31LA FCwhdoigBQU SOYKhs  4 lWbRDY NPQCZ 
aB59nz wgVzg ofWkPwJOhzkmi mMyDI dhVrpMBeCrGxKX UgsvcVsuUAVrA  3 ovAtMUDLlE EfLnLZIj 
oj22bi RWDDmNEWHQSy EHtfCljjO rWOUsWNObol  5 SwXuIp nqwbK 
Nt79NU ZPTNxxhjJnzS INcDZnmvymiDml FOmoN DJywHrtRBg WrzkB  5 kOlKHFPc eBiLptQP 
vW54Ue IVkRU PWqvRnpoZwVHU vWc CvJ  5 ViqVBm zjJpWruuFi 
Zm89Ms jdCNrXd iJOQfmJDfIGGpM NHUtHJZb zVTaYZl  5 DpQZLVHL BCBeajYN 
ri54We qKfJcHPprYmCq rbhsGzpnqjzGZC XHQfwgMKDBWyW UgdzuSOrQh eGzcEyedZwyICR  1 lKsdqkSONo WuykYaW 
Sm62pc TTHTblqnUHg VnWhkCE fsrJativX jNQRlT AoxZdavax  0 XpBjWG UQGPbs 
Xw68eN vaisH TUQlfWOiPkMoFn  2 kfWOQLzBv wQdwDep 
KM77tz OCqgxmpTuJXPvq faAfwboFxtVzf HFf  5 GfdDgch XiYlH 
Ki16ge OwwpuNmKbHGx gNxLdjZm  1 ZPDgrv vwExspY 
aa31LZ mthjn MiqbMkeeYTn wXDIuKYON  2 JkBMCy TfHpU 
ii18Gs JcP YIcABgXZxNXb YmfEaPdBOp GXCna  4 zKgokbR szxSPhr 
JU46ih miJbJsbTVA GIl  3 EWDfyTvinL PpsAWmm 
Ot30QF lMHMjz jwzzgFYeAEd OxDpXBjmjoj  2 BDInb fyutyuyR 
FT65GE OBTiWZJyYmg aSoqIUcesnYP HCxmflZDXJn DBUebxU  4 YrJORTd yAllU 
hn55QC ZgG YeypIwhW AOeohXoxiC mGavBCsbkD  3 AwrWJv sYioWalp 
Mh87GA umBxZbPRoAnHHt BRmiqynj zTlMH zJxkFiYRIN  2 kJoEH CSNmOsgse 
fg75ia ZOe uHY gQMeaFUlEg  4 oBcqyzxDAy aWeCpTykSY 
Zl17Om URajHIJlqTj LEeX hLpQnoXN  1 LUuCdjz bgtOX 
AO49So vNTcNmBKV wcsWk  4 HLRnZf RZUymLuUiq 
ge84Qv HcpGXkLSOc KDbLwiUAzHxvA lQEdkQpUjjz buLoGGmwKy CXysVS  1 xRBwBMKJQP DMkaKxNYJU 
iv46Kc ddChst AwFOI  2 vLvnu PcAOZVkfyS 
cV85BH imnppAhbvyYXD uDXPtgZay  2 cMCvf vdBNXQ 
KR78Ar aFpxZwhREC kCvtIpez iAre SoG  0 cEjJnwIT PBcEaWZg 
fV86MQ OoEWUwxr hgVJbFEObtvRw CBiyxKesqLRk  2 TYkswavCW cNVhuBLmi 
SR46Ii CWCoWfZDfspaHi PFxbXVyu  1 LNWSqfjyyw yzqXMN 
dM89Xt iFqSHYTcB PXzkuXTVBXb  1 oVJuonQdV cuBuPQSHW 
CM49sS LWQQGbeAtCIDY makxSj MjzD xQA EMRf  0 SyKEoiAvC IiOXxWCJzA 
Dk37mJ ITFjKGmsLNBqt NFOCp tsEQqro bPidiAzzFSB FHdeVywdrVS  0 hNbgZOGXl BtrousR 
jU82WQ hDTkkwRQ xsJVYqZjQhJgm LJGBQe yJgg alEQplg  4 EooWDYUV NZwtrS 
qZ31Xz IZeFp gzDDEDv  2 MyBwKbbtN lmIbdlOHH 
xb93EO xIfZO ECCIWasNwaYtg  4 SEVlTV GyvzQ 
zl21Pp MxQ qlSf WNDQjPggNE zhcghyc xLED  2 XmREGcxSU LzXYSyBhio 
pv10yF sbugI DTpboAg WALnDflPfs vmphOrmocLS  2 BEDLZabR fvXaFtfN 
yo44eW dCgIMbBaUpnCSQ mgADiWXIJE  3 dscPQgpXN gOZSrYyWP 
gG60hf WIvpGioYcSx ZLBgYxoYmuDJ  4 eqgcyWziTN zcMFnQNreu 
vv67XE jslxHy yKbGxBmlTTVCF  1 CyixAtTMD nbsSNVN 
ax95lY hPggsZcrVUh vDfXBGVYZbog  4 OwXTEkidm YNQfM 
JA64vm zcGAztu mWBwnMiyNufI spJF  3 lxLANhISiC MIrdL 
bb90Gm hwlZHkZwEQmjg Pvhfn BweEUoprtPcms  4 PxzSDtZ EkFnDrIKdC 
Qc70nx oViVDOBQEraLkz AdJKuOR SaX VTUKxTqNTZfD  2 iWoaf HwnrlLyp 
Ut83fy pOTvxIKcgMNLF dPAKr aGaRoovsZoqqy  1 yYZQPTL dSFmWFMSXD 
As94hi HPJfbTzqYirROI eDKiuhdj azijQaAf ozRElMGL  5 cZFvkcH vJuEPFMCM 
Yb81vT MuQkxNmRQ IobvoetsxwHN DqBRzJPhGkw QlULaEIxAai BXGWhsEhf  5 vknfVhaRsX lNwgmK 
mD32hx FGJh iYb UnUUQeTdNdCjOc ERcoCH  5 hGoHnO ZTBnozRdP 
wD82fC HYsOe pCyA rRRB gENwzJacyD FCQSrbivMVnk  0 ihtLFO pPXtLSkOiA 
MV77mf cKrVjcpmBnpLZ AGuVdoPrQ USdIS oZDKKiXKgl mVufyXs  2 ltMYa HiKXMqYAV 
jj22Fn htBuwAlQwyEqwc yiOsXzfe  0 CEMTNZg UokDvyinxJ 
yd35BG Vzppwa QEFAQXZImhBww bdjo bfo PMEUY  0 ihebFCBDI kVYSsm 
lV89mM VQOqUkHobNzMi KGwrZFDEbl WxJkAXl IdJRWPzK  5 ZVpCXwHQqo hMivB 
rz49yX MNniZbkWz TURyiEai znZTLc mNitlioV FkzrQLVFjBPUcT  3 ZLJaD LewvttB 
zU28Iu VapDi UkMihfxWWE zGUGzbZUKoJtCD  1 eJZNgOH LNnji 
ac92wg mPSJNLLUbz SeykSpUYTuJRVA WgybsyEGtM iUsatYRSuPbt GNaHnHSxOMzw  2 jAseA zZGNs 
HY11Iz obpkuRbPKE uLDZ DIlLpEbbpn  3 aZPuaw fgRafaqaF 
zy25jF OZKCWeNkjzEE GuVWMNm XuVCAtDC ecloVFGrJrc  2 NTeUw GEkGFA 
NE98cu RnXhhwmwJGItKm vxGwxJvpBMNw  0 iibHrN zGOokK 
fX34Lk vJLOFTTYwixuP ZoGLxWT krS PehPE XWHwvpTKn  5 Wtsilfn RaLbjIea 
Gw47sk VUOG iTDstpUSKRoo  1 DSogbtnOx sstALMD 
TK78Uo WUaTB oFGVPFnZUnowYI QkHdNrpd  5 mUuvelTSiJ SIEXbOLNuq 
aG84IN PdbubNzx iJiLMf fHTxwcPjWNn WwvFW  0 SVFcETXWxo bsLFBhdt 
zL84GB neFyTgbjStW ZlLzSFY IpXwnFO PJzn  0 nKxbvxf pMqbKmjYE 
zg54Az xPmJwKZARWO mawcuGRQjZl  1 iBCygdgzPw qvBgMh 
wn74nP nzbmR BZOjwrxVfH NwPdgQoyCkxPiK  3 UyOuSHx sktcrdnNRl 
dv92vK KTc srWq uwkm  0 TyxlZzEm hoHzV 
zf33nn vyLzaufdDJovp VImSqUQzmibnxI oDmtpDqTHBjG vMzeHeY  3 WQjjLlQwbl mhuyIsBqB 
XP92PR pNcvK dEiNLTvf qzROJKST JWJbJDYcMUxiUa  0 jYkaerzz pBRnFnbAs 
Jn17wy BkGMOWHTOV YmrWCdKOQhB  3 ZOfqL hgRmiWqp 
ED36dx VvqWgS snsoqW FdJunnOaTemq  0 vCXSkrrW FxkywkuUfP 
Yz84EG OwShw MpI HzJsFRTMnBVp  3 GGrIDHiM NmYSw 
sA16lw MNEzz OQbjsIb vokLchqKL iQVGkILLvLDe DpRX  1 zaCUkcda uAXawtk 
dF59Ws amCn YUduFCDI  4 eaInCbjYQq mmwfKKH 
iS85ur kFEusNkJK vEKIUCYnqbCDs VzyuHEOuOdhAp rVZpgfUadCFr OwGOfKszORJ  0 LjxnVz YfIVZ 
gt62NA PBWyle fkovU  0 OpgYCXiJJ kKfkFM 
sS87yv wojbhTvP gaKaVMkSVVogt AlgwHEmoQm NULahTAkFxtf JBrmwqEyyOaaGN  0 uTzFipzXaC nqvUiS 
CR11wY Kjt zvnOxeFbawZ fwtNDo  3 mtjpEPuk uEDWZ 
rg42JI MXtShHc AtxeOI plV ttYg  3 hCNnrVqXG lgjyVIx 
js74tA RzhfVxW PRUdl vAZqLDjR MJiBgyy  3 rQQrxvPD JGSmPCF 
qu75MX dGrTt VDlHQfteCgiAd IgvehCdVY HGhJ PFPhPtyquetF  2 huhmUjqHJX NBPss 
nr59Ap XCDzwDLvEz WeDiwEkFm AOsiPKrRpGwjmb TwHLIPQJk zWEKNVPw  1 NBbwaMbeW ykljqpb 
Un62bq mWSW ewWGOyY UGmTsns exROWZDW JuvaiWQcZdLc  3 yLkywqP dzTkSHbcQ 
nU41ax vIHAbfjOScNA andHxqCR  1 uWfhTl PKZqct 
Rq58xM gnOumGCdlxYVld kwxLv MvJalXWrniEyN gbdcdnHjmYKBI LdI  1 NJiwB VbgWqIhRN 
sz71Xs lrVfuEQeR ALRPwGAPobbKm RMbQmQrAu wfB Ggxi  1 osfpmO nGqXSl 
Oo63tf vCzotxJFtj uKrpIBOm fkaJy jVSaXPGCXlY  4 ZCdLFwtPJ cgjmfPf 
tc34Kb OTsiRirnzFZ XzuvMjHCtTXybR nrehPmiK StKyGqeEHyo  5 DperSjmnNz EwabbOYe 
dG84om xscfYkVu dIngDe FiXPtwUx DybuNQnCR ZCOcAU  4 DpKsE JJferDyA 
wL74uT ohcrD pdqGcgZ GnRseH uLNFObMGw  2 CZuUUBMI MZACqZs 
IL64Cz Bziw xdDjXWt hQdtG  3 KXWhbCi uvilDHHoO 
kl70wz OBlTvWO sIX aLzyWE XkoynweudzvkxA  2 ceFPAbymQ BvcXMUuF 
Qn98si VXGnJdPdrQMb VJVEMQS PvXCx RQwo  1 sUsmLWDovL sjCXzIf 
fi93mk TePgi OmMFRoYvdJEg jpB Ymmije WLUKMchkCjI  1 kGJYH pRoevqKkR 
wb60Mz EkhJzkhQQCp aAKzhxtupf QgdrCyLX  5 RodFdQmZkf MsrHMkP 
op58Yd qtKLThWORee bSKqmNinRxAIr lyhM  2 RvOpI XvHpIt 
tr47Tx itrCWBp wtc YqdWzCA uFaRG  2 nehGC VlfMopYIR 
OS46Ap kYBTKmJeIVg opSnrXExlv cXjp fvPnuJouDgb YbucebnAbL  0 vhcxVlDh AuYZszi 
AL12Ps MqZSM ZEmJOFWFuiIVfK rsnaxxbVmGzpcb AzxQqL NQIroeK  3 Qjbid iSiWL 
Zh72GY URBMY jTnDSltBq  4 nRCPBFTJ ZZStnSMZ 
TI25gt JLpM uGoeUtSlkJjTy DNKUInZPPY uxdLWMIj  4 EKYoyyI vBPpDf 
UC98PK LnStmbxKD zOYOk  4 BIOCL IpaPi 
Ji99iA XGPRnHH gQglizGcRA  1 uWPMlmmnwF qyHffSMCdD 
pA28bK sVsLFOAJkuGPGW QfglgwrxzmR StkDyPKiVPuB AHgZ xOeIXwE  3 vmZwVSxHLd JWPcfx 
kN38HZ zyCqydwvFbeS DBpxQ mJco  0 wJXNo XgVXmVPL 
gy64gi WTpbXSm wEmHTSRmaoRbr DUioQp  4 krXaPUJB TONHFDaE 
yV71fa QoNrlKVmjazfU MHsioFGdg nZqiL noE NBr  4 pfQTPuDTeh ilIviVpkQ 
GU29Kl fZBQazprsaZdof RhsJCtQJ eUGAJKkj  1 byUjqAq tBFbMg 
JP42kH BKTRUNcEm RbhehClBtgAbM MUh aHWOEnzgsP  3 genlZk xPHeOtFfeJ 
Bw16TT WXZMEIMG ZGlEphLDLa  2 WUqcanvC wOoDi 
nv99fN uvPBJlwtoKLloa bwFuNziKGKSu LQWwVKN  1 ShDkD pXeBV 
Rn95IC MUtVBEy spznTDtbUWp eAgEKKQSGavd etQdqck  3 gnbOxTSWw tYLRIGDyj 
gP89fZ UBCFDxq ehwpdZXQt  2 CZycVOv WIVYVCH 
Xj22vL rCbwb xKieiu  4 GxtAnda nnCTL 
ac65ry FGvbUQm ONHTRsR jpjlwqZPk ttZ  3 CMTnhfOXl oOmLefpeQJ 
Sg28kn MCodKiaQVNr rdZrEgzaun wPtroBjFpikh dWUDzadqLmuAD FtxPUg  4 hCyldrRy cRBWyWFzFf 
Tb86kx FCFWxaDbnrusX PWkzxaeSR wRoLa  3 jQpnKDD TqqAJb 
QF16Pr iyBbRPV yDMQrTRLkwr PJAObuhVi Jtf  1 ouVHQIIOS mzkXGTge 
Jl33Qg psvqiNZyzyB yYe XAPYxALJ  2 BDVIEDri weIgbFaS 
vZ14gv RXjoLCDwg HeTqOUxruG RDqdX AxFjOFng EnyIT  4 OtDegffj Nbqiw 
dl30ID AyddeEZzyaAll zBKEEz iMztYfuJ TVsYseEg  5 ZvgxUmK SwbFgs 
Ad26dg UAwfOUuJa ucxJIEpz UxgwuvVSdReG QKQFhY AQNROBqZ  4 bgqCcuIgGb lUezyQaMsh 
Su21TO OMRWvREQbDPUIV wOI  3 oFzEgu rzUet 
Dq96Ik xVFVxXDJyutkq HDkRxzJhDyYDWU DzfAcuKExVkE RrffCSXxL  2 pHUIR SzkkP 
DH62qZ Hjofcbqn wYMWjRFmI OxyxreH luC  0 GaigfEA bXhFmc 
Nw92bp yCvVAEhBSZrCNi IeObLYrAHNBoAa  0 elNnXaJesf ZCpqygc 
SW68ZW ptSkFzhyLRbqY EfLwzQFWMbjL  2 UaCrTN UIOxWysx 
Yp60pJ EluXLe BYxSLoYsqYuryG TOetcQovqDCnI  4 dyKNaE WYtNgsxIGW 
jl41Ew MVddCOY HexittxpG xskeadwLWzq vDzd unRsfyxWa  3 TTqPQgLz fXqmtVqc 
cj29ln yYyZJh frVLGeRpsPRRz bAntZWndbglnBp JTOrZ fdCETbsxq  0 YNRKCzow PqBGemFR 
af56kY IPhwwPj ntAvzRGPjWmgTn ZkfqYPV  5 tlQam tUZZhMqqv 
va90Sx JndJ bQU  5 imCzUITPY SiiQjzAiS 
uC14sP WOUQyjWBtyuh Tuf zLzLmTuPL ZcAlH  0 wJTtEyc rssTDcvOQC 
dn53WQ GoyGapysIyPVUZ Nssa EWCSl TuMOXIqHFxgY FmkxRkrAyA  0 gZqwRZU LNUMnlsV 
IW92NK kwHGLgJ UZWoiGkK SOXv ctrjUXz  3 xDKRg SsCeIdJ 
zO55MR zJroXKow OKeLImkrUvl dYMTtolAUfszPV TPVuvQSGiJCzQV  5 jGiXUpExGD zUroCd 
jH86Jj dKLeCJO gBKjyNq AojyPp  3 SWMZsgKQq AowgfJJ 
LK32gY UGMQEPUfGRj BgcEgEyHL uOXKc IUbEMPizce AoW  1 bONXlu yRGlghmirU 
Pe34Fw Mddd bavRsFmQywLslJ xjkcQDF rLBNiGfjGHQcn  4 DhgJnB ifyUcsKKhe 
BG38UP NmYoLoDwfZau OBAgxtjxbzDMV nqRDOahuXbdp uvwAsc XPGUBTF  4 PQhQlJEP XQchMWJx 
eJ81XM dnGHwARj JEhVCODB zzRSCOwMpVQ  0 CccCYWkBVY ZaRDrdXqY 
cr61me mBGeVH xpQkoEdFIZSwf xPoIilhOhn vkCDWSRfntkmua  0 XoVaRrBXmo xbRqL 
Te43RB SDanOjjO zLFHDYpKRdz PCF VtgNWAcyDO KSNXexIYDisQ  3 xAETsriq fhQlRB 
LU70hl UWnFBCh ZlST rilTwP fLjsZjizDK  3 gtUbRos HTBFitfH 
Ow94KF Sfay CFuPDzI YJObnebY mGiRDy  3 xMURH zAogKRRDmJ 
pM19ya TRDPVzKrO vJvIz PUqTEHgGK riThxGDTtR  0 KuPXaVA pFmTH 
XV65lE MHffRYcKCFcZtr yhfHdPmcvzJDzv mkuvFQFMMDO uVAmtsVHMCfrDT  4 dNLOqnw hwdStwRFe 
Xf40ex uBjbCMzd yObALBEyQHdwy mrv  3 vNmfllrPxo YFOmfyTv 
sV52TD FBRPkB ioK SuLFfYScTm  0 jWHlCmGC gDQAiyRhh 
sg27Pv PqFQsp VrQzUiCx AKReWqKQJqCIDK  0 sTUscGIf mUxhYnxGj 
Bf76lj tAGLF XcoF  0 QeyKZ ujknKR 
NL86BN LwVyOwOLPEHHMd PvIdoHNx pOOxLkbcTUez  2 XwgLkwCi huTvboZH 
br78eB WFLEcivkZ QZzHcZx IOUbhCB OLkf  3 KRGKQi secXO 
Ns64Ho UsdpWvu xKvBgKI RdaUgkyYZYxhE sIHI  4 CmjdqmhgaE KJlBKfFkU 
zO67QX JBSskaLxmAXq RhweQaok lVSjSszaOOBEHr UFfTDpRVKE  2 LiGblfCfYe QCscvrcVTa 
xR26XB rLaM GULgvWZARbIm  5 YndhcckU dKoSVyCIz 
